submission_time_oar,total_energy_consumption
1561925109,399189554788.7591
1561925109,416733065989.2849
1561925109,408692423366.6061
1561925109,420545902182.7712
1561925109,404043416311.7455
1561925109,414996747043.5333
1561925109,397993114239.8076
1561925109,411281982480.7924
1561925213,374971344431.8333
1561925213,412916266576.8151
1561925213,395449612770.4636
1561925213,415932724867.6697
1561962378,412087630421.8828
1561962378,424796135819.04144
1561962378,388484471046.1227
1561962378,420394282185.13184
1561962378,372002433742.7121
1561962378,416077918683.7955
1562158779,98632320313.0
1562158779,103808876816.61363
1562158779,104422381923.33333
1562158779,107073241297.75
1562158779,99852971304.49394
1562158779,103591342291.56818
1562158779,88875042278.7197
1562158779,95314636732.83333
1562174459,217652895426.8394
1562174459,219137789047.73788
1562174459,215637223269.13635
1562174459,217165950878.15152
1562174459,198331460716.3333
1562174459,216411106089.1212
1562174459,194450219829.8909
1562174459,213201306281.01514
1562234478,433732731792.10455
1562234478,422258484701.11816
1562234478,435623915666.3424
1562234478,426292502028.47577
1562234478,406975386824.9924
1562234478,439778414070.6455
1562234478,398986470482.6137
1562234478,420542735099.4849
1562315559,819466662506.0029
1562315559,839083725409.5288
1562315559,842849729995.4424
1562315559,851823011071.0
1562315559,814421440879.1576
1562315559,854688913302.1924
1562315559,770042273058.8379
1562315559,861245229599.1425
1562604383,172793494430.91666
1562604383,179289874012.72726
1562604383,171581248027.6924
1562604383,174703143376.35754
1562604383,160297930345.37424
1562604383,175277739213.2318
1562604383,152381633254.82574
1562604383,161313530104.2803
1562664359,439918457211.6137
1562664359,444382057162.6364
1562664359,428822048724.3773
1562664359,441009896659.053
1562664359,419435580486.93787
1562664359,422074703061.444
1562664359,407414487309.2121
1562664359,436970362456.7651
